Date,Temperature,Country
01/01/1990,19.261,Myanmar
02/01/1990,21.418,Myanmar
03/01/1990,24.175,Myanmar
04/01/1990,26.284,Myanmar
05/01/1990,26.522,Myanmar
06/01/1990,26.229,Myanmar
07/01/1990,25.915,Myanmar
08/01/1990,26.383,Myanmar
09/01/1990,25.573,Myanmar
10/01/1990,24.583,Myanmar
11/01/1990,23.032,Myanmar
12/01/1990,19.376,Myanmar
01/01/1991,19.092,Myanmar
02/01/1991,21.619,Myanmar
03/01/1991,25.615,Myanmar
04/01/1991,26.864,Myanmar
05/01/1991,27.081,Myanmar
06/01/1991,26.214,Myanmar
07/01/1991,26.044,Myanmar
08/01/1991,25.796,Myanmar
09/01/1991,25.943,Myanmar
10/01/1991,24.8,Myanmar
11/01/1991,21.793,Myanmar
12/01/1991,18.864,Myanmar
01/01/1992,17.873,Myanmar
02/01/1992,19.275,Myanmar
03/01/1992,24.502,Myanmar
04/01/1992,27.442,Myanmar
05/01/1992,27.368,Myanmar
06/01/1992,27.028,Myanmar
07/01/1992,25.614,Myanmar
08/01/1992,25.955,Myanmar
09/01/1992,25.658,Myanmar
10/01/1992,23.529,Myanmar
11/01/1992,21.611,Myanmar
12/01/1992,17.789,Myanmar
01/01/1993,18.062,Myanmar
02/01/1993,20.396,Myanmar
03/01/1993,23.804,Myanmar
04/01/1993,26.315,Myanmar
05/01/1993,26.744,Myanmar
06/01/1993,26.245,Myanmar
07/01/1993,26.384,Myanmar
08/01/1993,25.684,Myanmar
09/01/1993,25.491,Myanmar
10/01/1993,24.654,Myanmar
11/01/1993,22.393,Myanmar
12/01/1993,20.111,Myanmar
01/01/1994,19.981,Myanmar
02/01/1994,21.514,Myanmar
03/01/1994,24.305,Myanmar
04/01/1994,26.882,Myanmar
05/01/1994,27.658,Myanmar
06/01/1994,26.236,Myanmar
07/01/1994,26.024,Myanmar
08/01/1994,25.541,Myanmar
09/01/1994,25.94,Myanmar
10/01/1994,24.279,Myanmar
11/01/1994,22.114,Myanmar
12/01/1994,19.246,Myanmar
01/01/1995,19.158,Myanmar
02/01/1995,20.758,Myanmar
03/01/1995,25.02,Myanmar
04/01/1995,27.757,Myanmar
05/01/1995,27.666,Myanmar
06/01/1995,26.669,Myanmar
07/01/1995,25.867,Myanmar
08/01/1995,25.919,Myanmar
09/01/1995,25.435,Myanmar
10/01/1995,25.13,Myanmar
11/01/1995,22.879,Myanmar
12/01/1995,18.805,Myanmar
01/01/1996,18.67,Myanmar
02/01/1996,21.06,Myanmar
03/01/1996,24.75,Myanmar
04/01/1996,26.473,Myanmar
05/01/1996,26.725,Myanmar
06/01/1996,26.219,Myanmar
07/01/1996,25.97,Myanmar
08/01/1996,25.757,Myanmar
09/01/1996,25.746,Myanmar
10/01/1996,24.868,Myanmar
11/01/1996,22.862,Myanmar
12/01/1996,20.2,Myanmar
01/01/1997,18.108,Myanmar
02/01/1997,19.992,Myanmar
03/01/1997,24.379,Myanmar
04/01/1997,25.091,Myanmar
05/01/1997,27.661,Myanmar
06/01/1997,26.588,Myanmar
07/01/1997,25.819,Myanmar
08/01/1997,25.958,Myanmar
09/01/1997,25.049,Myanmar
10/01/1997,24.568,Myanmar
11/01/1997,22.793,Myanmar
12/01/1997,20.441,Myanmar
01/01/1998,19.457,Myanmar
02/01/1998,21.525,Myanmar
03/01/1998,24.425,Myanmar
04/01/1998,27.102,Myanmar
05/01/1998,28.141,Myanmar
06/01/1998,27.298,Myanmar
07/01/1998,26.394,Myanmar
08/01/1998,26.311,Myanmar
09/01/1998,26.211,Myanmar
10/01/1998,25.848,Myanmar
11/01/1998,23.744,Myanmar
12/01/1998,20.919,Myanmar
01/01/1999,20.015,Myanmar
02/01/1999,23.34,Myanmar
03/01/1999,25.457,Myanmar
04/01/1999,27.627,Myanmar
05/01/1999,26.001,Myanmar
06/01/1999,26.43,Myanmar
07/01/1999,26.12,Myanmar
08/01/1999,25.517,Myanmar
09/01/1999,25.732,Myanmar
10/01/1999,24.936,Myanmar
11/01/1999,22.563,Myanmar
12/01/1999,18.824,Myanmar
01/01/2000,19.291,Myanmar
02/01/2000,20.997,Myanmar
03/01/2000,23.703,Myanmar
04/01/2000,26.694,Myanmar
05/01/2000,25.935,Myanmar
06/01/2000,26.11,Myanmar
07/01/2000,26.054,Myanmar
08/01/2000,26.069,Myanmar
09/01/2000,25.396,Myanmar
10/01/2000,24.972,Myanmar
11/01/2000,22.207,Myanmar
12/01/2000,19.742,Myanmar
01/01/2001,19.439,Myanmar
02/01/2001,22.045,Myanmar
03/01/2001,24.761,Myanmar
04/01/2001,27.998,Myanmar
05/01/2001,26.206,Myanmar
06/01/2001,26.134,Myanmar
07/01/2001,25.982,Myanmar
08/01/2001,26.372,Myanmar
09/01/2001,26.129,Myanmar
10/01/2001,24.793,Myanmar
11/01/2001,21.917,Myanmar
12/01/2001,20.151,Myanmar
01/01/2002,19.268,Myanmar
02/01/2002,22.158,Myanmar
03/01/2002,24.771,Myanmar
04/01/2002,27.075,Myanmar
05/01/2002,26.445,Myanmar
06/01/2002,26.749,Myanmar
07/01/2002,25.718,Myanmar
08/01/2002,25.532,Myanmar
09/01/2002,25.77,Myanmar
10/01/2002,24.793,Myanmar
11/01/2002,22.922,Myanmar
12/01/2002,20.308,Myanmar
01/01/2003,18.985,Myanmar
02/01/2003,21.637,Myanmar
03/01/2003,23.926,Myanmar
04/01/2003,27.388,Myanmar
05/01/2003,26.852,Myanmar
06/01/2003,26.091,Myanmar
07/01/2003,26.222,Myanmar
08/01/2003,26.398,Myanmar
09/01/2003,25.903,Myanmar
10/01/2003,25.254,Myanmar
11/01/2003,22.619,Myanmar
12/01/2003,20.182,Myanmar
01/01/2004,19.581,Myanmar
02/01/2004,21.429,Myanmar
03/01/2004,25.902,Myanmar
04/01/2004,26.504,Myanmar
05/01/2004,26.835,Myanmar
06/01/2004,25.954,Myanmar
07/01/2004,25.52,Myanmar
08/01/2004,26.066,Myanmar
09/01/2004,25.165,Myanmar
10/01/2004,24.487,Myanmar
11/01/2004,22.687,Myanmar
12/01/2004,19.169,Myanmar
01/01/2005,19.395,Myanmar
02/01/2005,22.522,Myanmar
03/01/2005,24.765,Myanmar
04/01/2005,27.143,Myanmar
05/01/2005,27.428,Myanmar
06/01/2005,27.21,Myanmar
07/01/2005,26.319,Myanmar
08/01/2005,26.048,Myanmar
09/01/2005,25.916,Myanmar
10/01/2005,25.174,Myanmar
11/01/2005,22.903,Myanmar
12/01/2005,20.15,Myanmar
01/01/2006,19.707,Myanmar
02/01/2006,22.71,Myanmar
03/01/2006,25.674,Myanmar
04/01/2006,26.803,Myanmar
05/01/2006,26.328,Myanmar
06/01/2006,26.599,Myanmar
07/01/2006,26.196,Myanmar
08/01/2006,25.95,Myanmar
09/01/2006,25.713,Myanmar
10/01/2006,25.064,Myanmar
11/01/2006,22.866,Myanmar
12/01/2006,19.576,Myanmar
01/01/2007,19.159,Myanmar
02/01/2007,20.794,Myanmar
03/01/2007,24.657,Myanmar
04/01/2007,26.943,Myanmar
05/01/2007,26.353,Myanmar
06/01/2007,26.856,Myanmar
07/01/2007,26.068,Myanmar
08/01/2007,26.41,Myanmar
09/01/2007,25.666,Myanmar
10/01/2007,24.838,Myanmar
11/01/2007,22.349,Myanmar
12/01/2007,19.823,Myanmar
01/01/2008,19.571,Myanmar
02/01/2008,20.918,Myanmar
03/01/2008,24.743,Myanmar
04/01/2008,27.283,Myanmar
05/01/2008,26.489,Myanmar
06/01/2008,26.171,Myanmar
07/01/2008,25.85,Myanmar
08/01/2008,25.882,Myanmar
09/01/2008,26.083,Myanmar
10/01/2008,24.939,Myanmar
11/01/2008,22.468,Myanmar
12/01/2008,19.714,Myanmar
01/01/2009,19.648,Myanmar
02/01/2009,22.567,Myanmar
03/01/2009,25.029,Myanmar
04/01/2009,27.325,Myanmar
05/01/2009,27.324,Myanmar
06/01/2009,26.582,Myanmar
07/01/2009,26.365,Myanmar
08/01/2009,26.2,Myanmar
09/01/2009,26.424,Myanmar
10/01/2009,25.485,Myanmar
11/01/2009,23.418,Myanmar
12/01/2009,20.049,Myanmar
01/01/2010,20.154,Myanmar
02/01/2010,22.005,Myanmar
03/01/2010,25.767,Myanmar
04/01/2010,27.794,Myanmar
05/01/2010,28.369,Myanmar
06/01/2010,27.083,Myanmar
07/01/2010,26.618,Myanmar
08/01/2010,26.43,Myanmar
09/01/2010,26.117,Myanmar
10/01/2010,24.928,Myanmar
11/01/2010,23.064,Myanmar
12/01/2010,19.975,Myanmar
01/01/2011,19.3,Myanmar
02/01/2011,21.757,Myanmar
03/01/2011,24.013,Myanmar
04/01/2011,26.145,Myanmar
05/01/2011,26.552,Myanmar
06/01/2011,26.272,Myanmar
07/01/2011,26.092,Myanmar
08/01/2011,25.665,Myanmar
09/01/2011,25.953,Myanmar
10/01/2011,24.901,Myanmar
11/01/2011,22.462,Myanmar
12/01/2011,20.2,Myanmar
01/01/2012,19.607,Myanmar
02/01/2012,22.194,Myanmar
03/01/2012,25.042,Myanmar
04/01/2012,27.063,Myanmar
05/01/2012,28.081,Myanmar
06/01/2012,26.806,Myanmar
07/01/2012,26.206,Myanmar
08/01/2012,26.233,Myanmar
09/01/2012,26.293,Myanmar
10/01/2012,25.161,Myanmar
11/01/2012,23.777,Myanmar
12/01/2012,20.35,Myanmar
01/01/2013,19.27,Myanmar
02/01/2013,23.039,Myanmar
03/01/2013,25.174,Myanmar
04/01/2013,27.495,Myanmar
05/01/2013,27.16,Myanmar
06/01/2013,27.168,Myanmar
07/01/2013,26.425,Myanmar
08/01/2013,26.292,Myanmar
09/01/2013,,Myanmar
01/01/1990,25.573,Philippines
02/01/1990,26.404,Philippines
03/01/1990,26.826,Philippines
04/01/1990,28.105,Philippines
05/01/1990,28.187,Philippines
06/01/1990,27.421,Philippines
07/01/1990,27.283,Philippines
08/01/1990,27.473,Philippines
09/01/1990,27.031,Philippines
10/01/1990,26.662,Philippines
11/01/1990,26.414,Philippines
12/01/1990,25.809,Philippines
01/01/1991,25.506,Philippines
02/01/1991,25.842,Philippines
03/01/1991,26.587,Philippines
04/01/1991,27.534,Philippines
05/01/1991,28.218,Philippines
06/01/1991,27.899,Philippines
07/01/1991,27.245,Philippines
08/01/1991,27.269,Philippines
09/01/1991,27.298,Philippines
10/01/1991,26.538,Philippines
11/01/1991,26.081,Philippines
12/01/1991,25.504,Philippines
01/01/1992,25.227,Philippines
02/01/1992,25.879,Philippines
03/01/1992,27.01,Philippines
04/01/1992,27.989,Philippines
05/01/1992,28.531,Philippines
06/01/1992,28.007,Philippines
07/01/1992,27.115,Philippines
08/01/1992,27.377,Philippines
09/01/1992,27.368,Philippines
10/01/1992,26.659,Philippines
11/01/1992,26.019,Philippines
12/01/1992,25.637,Philippines
01/01/1993,25.253,Philippines
02/01/1993,25.53,Philippines
03/01/1993,26.279,Philippines
04/01/1993,27.426,Philippines
05/01/1993,28.465,Philippines
06/01/1993,28.121,Philippines
07/01/1993,27.548,Philippines
08/01/1993,27.122,Philippines
09/01/1993,26.983,Philippines
10/01/1993,26.591,Philippines
11/01/1993,26.848,Philippines
12/01/1993,25.99,Philippines
01/01/1994,25.661,Philippines
02/01/1994,26.048,Philippines
03/01/1994,26.925,Philippines
04/01/1994,27.619,Philippines
05/01/1994,28.208,Philippines
06/01/1994,27.345,Philippines
07/01/1994,27.068,Philippines
08/01/1994,27.236,Philippines
09/01/1994,26.876,Philippines
10/01/1994,26.702,Philippines
11/01/1994,26.491,Philippines
12/01/1994,25.797,Philippines
01/01/1995,25.362,Philippines
02/01/1995,25.698,Philippines
03/01/1995,26.559,Philippines
04/01/1995,27.649,Philippines
05/01/1995,28.15,Philippines
06/01/1995,28.054,Philippines
07/01/1995,27.061,Philippines
08/01/1995,27.218,Philippines
09/01/1995,26.967,Philippines
10/01/1995,26.94,Philippines
11/01/1995,26.754,Philippines
12/01/1995,25.505,Philippines
01/01/1996,25.127,Philippines
02/01/1996,25.314,Philippines
03/01/1996,27.264,Philippines
04/01/1996,27.301,Philippines
05/01/1996,27.958,Philippines
06/01/1996,27.685,Philippines
07/01/1996,27.647,Philippines
08/01/1996,27.545,Philippines
09/01/1996,27.463,Philippines
10/01/1996,27.224,Philippines
11/01/1996,26.492,Philippines
12/01/1996,25.635,Philippines
01/01/1997,24.987,Philippines
02/01/1997,25.746,Philippines
03/01/1997,26.249,Philippines
04/01/1997,27.71,Philippines
05/01/1997,28.286,Philippines
06/01/1997,27.846,Philippines
07/01/1997,27.312,Philippines
08/01/1997,27.704,Philippines
09/01/1997,27.227,Philippines
10/01/1997,27.212,Philippines
11/01/1997,27.141,Philippines
12/01/1997,26.296,Philippines
01/01/1998,26.341,Philippines
02/01/1998,27.032,Philippines
03/01/1998,27.735,Philippines
04/01/1998,28.734,Philippines
05/01/1998,29.158,Philippines
06/01/1998,28.681,Philippines
07/01/1998,28.422,Philippines
08/01/1998,28.287,Philippines
09/01/1998,27.843,Philippines
10/01/1998,27.312,Philippines
11/01/1998,27.198,Philippines
12/01/1998,26.61,Philippines
01/01/1999,26.126,Philippines
02/01/1999,26.133,Philippines
03/01/1999,27.149,Philippines
04/01/1999,27.498,Philippines
05/01/1999,27.918,Philippines
06/01/1999,27.303,Philippines
07/01/1999,27.26,Philippines
08/01/1999,26.972,Philippines
09/01/1999,27.126,Philippines
10/01/1999,27.006,Philippines
11/01/1999,26.553,Philippines
12/01/1999,26.065,Philippines
01/01/2000,25.908,Philippines
02/01/2000,26.082,Philippines
03/01/2000,26.885,Philippines
04/01/2000,27.791,Philippines
05/01/2000,28.019,Philippines
06/01/2000,27.559,Philippines
07/01/2000,27.06,Philippines
08/01/2000,27.367,Philippines
09/01/2000,27.347,Philippines
10/01/2000,26.935,Philippines
11/01/2000,26.949,Philippines
12/01/2000,26.215,Philippines
01/01/2001,25.976,Philippines
02/01/2001,26.501,Philippines
03/01/2001,27.021,Philippines
04/01/2001,28.107,Philippines
05/01/2001,28.17,Philippines
06/01/2001,27.589,Philippines
07/01/2001,27.358,Philippines
08/01/2001,27.527,Philippines
09/01/2001,27.558,Philippines
10/01/2001,27.228,Philippines
11/01/2001,26.516,Philippines
12/01/2001,25.7,Philippines
01/01/2002,25.579,Philippines
02/01/2002,25.705,Philippines
03/01/2002,26.789,Philippines
04/01/2002,27.747,Philippines
05/01/2002,28.317,Philippines
06/01/2002,28.009,Philippines
07/01/2002,27.628,Philippines
08/01/2002,27.348,Philippines
09/01/2002,27.119,Philippines
10/01/2002,27.165,Philippines
11/01/2002,27.032,Philippines
12/01/2002,26.56,Philippines
01/01/2003,25.546,Philippines
02/01/2003,25.961,Philippines
03/01/2003,26.934,Philippines
04/01/2003,28.433,Philippines
05/01/2003,28.272,Philippines
06/01/2003,27.506,Philippines
07/01/2003,27.483,Philippines
08/01/2003,27.459,Philippines
09/01/2003,27.126,Philippines
10/01/2003,26.883,Philippines
11/01/2003,27.099,Philippines
12/01/2003,25.476,Philippines
01/01/2004,25.88,Philippines
02/01/2004,26.106,Philippines
03/01/2004,27.134,Philippines
04/01/2004,28.215,Philippines
